wavelength_nm,frequency_thz,theta_air_raw_deg,theta_prism_deg,observed_r0_reflectance_fraction,package_static_prediction_fraction,residual_prediction_minus_observed,absolute_residual,power_norm_std,prepump_rows,delay_min_ps,delay_max_ps,in_figure2_plotted_window
1220,245.731522951,35,38.3522229072,0.0393616294566,0.072805164214,0.0334435347574,0.0334435347574,0.000947517949718,11,-0.6,-0.4,false
1220,245.731522951,36,39.0137585711,0.0384567852912,0.0728891636444,0.0344323783532,0.0344323783532,0.000771580172126,11,-0.6,-0.4,false
1220,245.731522951,37,39.6763222586,0.0380418438436,0.0726867768854,0.0346449330418,0.0346449330418,0.00158192500581,11,-0.6,-0.4,false
1220,245.731522951,38,40.3397973986,0.0364117739878,0.0721179411754,0.0357061671876,0.0357061671876,0.00103733864457,11,-0.6,-0.4,false
1220,245.731522951,39,41.0040682498,0.034455363151,0.0710717225055,0.0366163593546,0.0366163593546,0.000924398256338,11,-0.6,-0.4,false
1220,245.731522951,40,41.6690197955,0.0331753567934,0.0693862342288,0.0362108774353,0.0362108774353,0.00117471344269,11,-0.6,-0.4,false
1220,245.731522951,41,42.3345376402,0.0305856008043,0.0668067917626,0.0362211909583,0.0362211909583,0.000876737772811,11,-0.6,-0.4,false
1220,245.731522951,42,43.0005079045,0.0288328377877,0.0628817018144,0.0340488640267,0.0340488640267,0.000964395593996,11,-0.6,-0.4,true
1220,245.731522951,43,43.6668171225,0.0279290022189,0.0566040870286,0.0286750848097,0.0286750848097,0.00111823497856,11,-0.6,-0.4,true
1220,245.731522951,44,44.3333521377,0.0176842880363,0.0426367178366,0.0249524298003,0.0249524298003,0.00121223612988,11,-0.6,-0.4,true
1220,245.731522951,45,45,0.0105807806522,0.014875789709,0.00429500905685,0.00429500905685,0.00134050620051,11,-0.6,-0.4,true
1220,245.731522951,46,45.6666478623,0.0125036857841,0.01615616836,0.00365248257588,0.00365248257588,0.00103259611184,11,-0.6,-0.4,true
1220,245.731522951,47,46.3331828775,0.0194331408281,0.0227358899577,0.00330274912961,0.00330274912961,0.000804120357103,11,-0.6,-0.4,true
1220,245.731522951,48,46.9994920955,0.0275528399344,0.0320639374712,0.00451109753682,0.00451109753682,0.00109940270091,11,-0.6,-0.4,true
1220,245.731522951,49,47.6654623598,0.0362098845714,0.0430986241292,0.00688873955778,0.00688873955778,0.00119667571603,11,-0.6,-0.4,true
1220,245.731522951,50,48.3309802045,0.0459948686297,0.0552769785928,0.00928210996304,0.00928210996304,0.00121075181063,11,-0.6,-0.4,true
1220,245.731522951,51,48.9959317502,0.0574162627821,0.0682503006171,0.010834037835,0.010834037835,0.000738603171899,11,-0.6,-0.4,true
1220,245.731522951,52,49.6602026014,0.0668376981664,0.0817847798327,0.0149470816663,0.0149470816663,0.00158371547377,11,-0.6,-0.4,true
1220,245.731522951,53,50.3236777414,0.0781861203644,0.0957155288939,0.0175294085295,0.0175294085295,0.000885388939408,11,-0.6,-0.4,true
1220,245.731522951,54,50.9862414289,0.089154882094,0.109922262034,0.0207673799396,0.0207673799396,0.000906895835092,11,-0.6,-0.4,false
1220,245.731522951,55,51.6477770928,0.0973429242129,0.124315148592,0.026972224379,0.026972224379,0.00171518676471,11,-0.6,-0.4,false
1220,245.731522951,56,52.3081672277,0.107781623741,0.138825988676,0.0310443649351,0.0310443649351,0.00132486191833,11,-0.6,-0.4,false
1220,245.731522951,57,52.9672932881,0.117480949901,0.153402407216,0.0359214573143,0.0359214573143,0.00133506172628,11,-0.6,-0.4,false
1220,245.731522951,58,53.6250355825,0.127837108375,0.168003871826,0.0401667634515,0.0401667634515,0.00116938765529,11,-0.6,-0.4,false
1220,245.731522951,59,54.2812731675,0.136321322685,0.182598870004,0.0462775473194,0.0462775473194,0.00113029045564,11,-0.6,-0.4,false
1220,245.731522951,60,54.9358837405,0.138028956645,0.197162854302,0.0591338976571,0.0591338976571,0.000962501910451,11,-0.6,-0.4,false
1230,243.733705691,35,38.3522229072,0.0449513131829,0.0821477613987,0.0371964482158,0.0371964482158,0.000961541403734,11,-0.6,-0.4,false
1230,243.733705691,36,39.0137585711,0.0441464793037,0.0826402872821,0.0384938079784,0.0384938079784,0.00156051107893,11,-0.6,-0.4,false
1230,243.733705691,37,39.6763222586,0.0441900148863,0.0828947831308,0.0387047682445,0.0387047682445,0.000773842301966,11,-0.6,-0.4,false
1230,243.733705691,38,40.3397973986,0.0430938840888,0.082845059814,0.0397511757252,0.0397511757252,0.00114072307436,11,-0.6,-0.4,false
1230,243.733705691,39,41.0040682498,0.0416275545368,0.0824007248678,0.040773170331,0.040773170331,0.00117577637018,11,-0.6,-0.4,false
1230,243.733705691,40,41.6690197955,0.0410480161294,0.081432284248,0.0403842681185,0.0403842681185,0.00159353689038,11,-0.6,-0.4,false
1230,243.733705691,41,42.3345376402,0.039861219915,0.0797409748896,0.0398797549746,0.0398797549746,0.000495811185265,11,-0.6,-0.4,false
1230,243.733705691,42,43.0005079045,0.0387797992252,0.0769864343757,0.0382066351505,0.0382066351505,0.00133726880856,11,-0.6,-0.4,true
1230,243.733705691,43,43.6668171225,0.0403695930057,0.0724511685929,0.0320815755872,0.0320815755872,0.00118837142233,11,-0.6,-0.4,true
1230,243.733705691,44,44.3333521377,0.0249769588593,0.0627057345814,0.0377287757221,0.0377287757221,0.00111209745248,11,-0.6,-0.4,true
1230,243.733705691,45,45,0.0113379000703,0.0237073769317,0.0123694768614,0.0123694768614,0.000724244773403,11,-0.6,-0.4,true
1230,243.733705691,46,45.6666478623,0.00824578428964,0.0183777675419,0.0101319832523,0.0101319832523,0.000717205833461,11,-0.6,-0.4,true
1230,243.733705691,47,46.3331828775,0.011522162837,0.0198434289265,0.00832126608944,0.00832126608944,0.00173318967174,11,-0.6,-0.4,true
1230,243.733705691,48,46.9994920955,0.0170566817633,0.0249382714771,0.00788158971384,0.00788158971384,0.000699568715411,11,-0.6,-0.4,true
1230,243.733705691,49,47.6654623598,0.0230973615937,0.0323713459486,0.00927398435484,0.00927398435484,0.00102523592877,11,-0.6,-0.4,true
1230,243.733705691,50,48.3309802045,0.0312806759896,0.041441923623,0.0101612476334,0.0101612476334,0.00112542728058,11,-0.6,-0.4,true
1230,243.733705691,51,48.9959317502,0.0403591919238,0.0517120025159,0.0113528105921,0.0113528105921,0.00115278995462,11,-0.6,-0.4,true
1230,243.733705691,52,49.6602026014,0.0485994024702,0.0628840566433,0.0142846541731,0.0142846541731,0.000689513593646,11,-0.6,-0.4,true
1230,243.733705691,53,50.3236777414,0.0595063382711,0.0747448390076,0.0152385007365,0.0152385007365,0.00110906360753,11,-0.6,-0.4,true
1230,243.733705691,54,50.9862414289,0.0682072238246,0.0871357978815,0.0189285740569,0.0189285740569,0.00108495699096,11,-0.6,-0.4,false
1230,243.733705691,55,51.6477770928,0.0766758684901,0.0999359311616,0.0232600626715,0.0232600626715,0.00100498496109,11,-0.6,-0.4,false
1230,243.733705691,56,52.3081672277,0.084923294508,0.113051111063,0.0281278165551,0.0281278165551,0.00158636499894,11,-0.6,-0.4,false
1230,243.733705691,57,52.9672932881,0.0952944796912,0.126407060697,0.0311125810057,0.0311125810057,0.000892558602067,11,-0.6,-0.4,false
1230,243.733705691,58,53.6250355825,0.104376801508,0.139944528598,0.0355677270899,0.0355677270899,0.00193822352519,11,-0.6,-0.4,false
1230,243.733705691,59,54.2812731675,0.11202115578,0.153615856524,0.041594700744,0.041594700744,0.00128330256003,11,-0.6,-0.4,false
1230,243.733705691,60,54.9358837405,0.116265818349,0.1673824688,0.051116650451,0.051116650451,0.00142044317262,11,-0.6,-0.4,false
1240,241.76811129,35,38.3522229072,0.0506048168901,0.0909829648784,0.0403781479883,0.0403781479883,0.00131331791592,11,-0.6,-0.4,false
